Word,English,Language
partie,part,French
histoire,history,French
chercher,search,French
seulement,only,French
police,police,French
pensais,thought,French
aide,help,French
demande,request,French
genre,kind,French
mois,month,French
frère,brother,French
laisser,let,French
car,because,French
mettre,to put,French
laisse,leash,French
eux,them,French
ville,city,French
chaque,each,French
parlé,speak,French
arrivé,come,French
devrait,should,French
bébé,baby,French
longtemps,long time,French
heures,hours,French
vont,will,French
pendant,while,French
revoir,meet again,French
aucune,any,French
place,square,French
parle,speak,French
savais,knew,French
étaient,were,French
attention,Warning,French
voici,here is,French
pourrais,could,French
affaire,case,French
donner,give,French
type,type,French
leurs,their,French
donné,given,French
train,train,French
corps,body,French
endroit,place,French
yeux,eyes,French
façon,way,French
écoute,listen,French
dont,whose,French
trouve,find,French
premier,first,French
perdu,lost,French
main,hand,French
première,first,French
côté,side,French
pouvoir,power,French
vieux,old,French
sois,be,French
tiens,here,French
matin,morning,French
tellement,so much,French
enfant,child,French
point,point,French
venu,came,French
suite,after,French
pardon,sorry,French
venez,come,French
devant,in front of,French
vers,towards,French
minutes,minutes,French
demandé,request,French
chambre,bedroom,French
mis,placed,French
belle,beautiful,French
droit,law,French
aimerais,would like to,French
aujourd'hui,today,French
mari,husband,French
cause,cause,French
enfin,finally,French
espère,hope,French
eau,water,French
attendez,Wait,French
parti,left,French
nouvelle,new,French
boulot,job,French
arrêter,Stop,French
dirait,would say,French
terre,Earth,French
compte,account,French
donne,given,French
loin,far,French
fin,end,French
croire,believe,French
chérie,sweetheart,French
gros,large,French
plutôt,rather,French
aura,will have,French
filles,girls,French
jouer,to play,French
bureau,office,French
है,Is,Hindi
।,.,Hindi
के,Of,Hindi
मैं,I,Hindi
नहीं,No,Hindi
में,In,Hindi
एक,One,Hindi
आप,You,Hindi
और,And,Hindi
से,From,Hindi
की,of,Hindi
क्या,What,Hindi
कि,That,Hindi
तुम,You,Hindi
हो,yes,Hindi
कर,Tax,Hindi
मुझे,Me,Hindi
को,To,Hindi
हम,We,Hindi
था,Was,Hindi
वह,He,Hindi
पर,But,Hindi
हूँ,am,Hindi
रहे,are,Hindi
भी,Too,Hindi
रहा,remained,Hindi
का,Of,Hindi
अपने,Our,Hindi
कुछ,Some?,Hindi
तो,So,Hindi
गया,Went,Hindi
इस,This,Hindi
मेरे,My,Hindi
ठीक,Correct,Hindi
करने,to,Hindi
किया,Did,Hindi
उसे,Him,Hindi
वे,They,Hindi
सकते,Can,Hindi
लेकिन,But,Hindi
यहाँ,Here,Hindi
तुम्हें,you,Hindi
कोई,Any,Hindi
अब,Now,Hindi
पता,Address,Hindi
होगा,will be,Hindi
बहुत,Very,Hindi
बात,talk,Hindi
सकता,Can,Hindi
जाओ,Go,Hindi
ही,only,Hindi
दिया,Gave,Hindi
करना,to do,Hindi
जा,Go,Hindi
मेरी,My,Hindi
सब,All,Hindi
लगता,seems,Hindi
कहा,Said,Hindi
जो,Who,Hindi
वहाँ,There,Hindi
इसे,This,Hindi
अच्छा,Good,Hindi
चाहिए,Needed,Hindi
बाहर,Outside,Hindi
करो,do it,Hindi
क्यों,Why,Hindi
अपनी,Own,Hindi
थे,Were,Hindi
चलो,Let us go,Hindi
दो,Two,Hindi
किसी,Any,Hindi
फिर,Then,Hindi
काम,Work,Hindi
अगर,If,Hindi
ये,These,Hindi
कैसे,How,Hindi
करते,Do,Hindi
बस,Bus,Hindi
चाहते,Want,Hindi
जाएगा,will go,Hindi
आदमी,Man,Hindi
कभी,Sometimes,Hindi
समय,Time,Hindi
वापस,Back,Hindi
हमें,Us,Hindi
रही,doing,Hindi
आ,Come,Hindi
तक,till,Hindi
हमारे,Our,Hindi
रूप,Form,Hindi
