Hindi,English
है,Is
।,.
के,Of
मैं,I
नहीं,No
हैं,Are
में,In
एक,One
आप,You
लिए,For
और,And
यह,it
से,From
की,of
क्या,What
कि,That
तुम,You
हो,yes
कर,Tax
मुझे,Me
को,To
हम,We
था,Was
वह,He
पर,But
हूँ,am
रहे,are
भी,Too
रहा,remained
का,Of
अपने,Our
कुछ,Some?
तो,So
गया,Went
इस,This
मेरे,My
ठीक,Correct
करने,to
किया,Did
साथ,with
उसे,Him
हाँ,Yes
वे,They
सकते,Can
लेकिन,But
यहाँ,Here
तुम्हें,you
कोई,Any
तरह,Kind
अब,Now
पता,Address
होगा,will be
बहुत,Very
बात,talk
सकता,Can
जाओ,Go
ही,only
दिया,Gave
करना,to do
जा,Go
मेरी,My
सब,All
बारे,About
लगता,seems
कहा,Said
जो,Who
वहाँ,There
जब,When
इसे,This
अच्छा,Good
चाहिए,Needed
बाहर,Outside
करो,do it
क्यों,Why
अपनी,Own
थे,Were
चलो,Let us go
दो,Two
ले,Take
किसी,Any
फिर,Then
काम,Work
अगर,If
ये,These
कैसे,How
करते,Do
पहले,First
बस,Bus
चाहते,Want
जाएगा,will go
आदमी,Man
कभी,Sometimes
समय,Time
वापस,Back
हमें,Us
रही,doing
आ,Come
तक,till
हमारे,Our
मेरा,My
रूप,Form
